Titulo,Plataforma,Fecha,Descripcion
Tago Akira no Atama no Taisou Dai-1-Shuu: Nazotoki Sekai Isshuu Ryokou,Nintendo DS,"June 18, 2009","Tago Akira no Atama no Taisou Dai-1-Shuu: Nazotoki Sekai Isshuu Ryokou is a Miscellaneous game, developed and..."
Tago Akira no Atama no Taisou Dai-2-Shuu: Ginga Oudan Nazotoki Adventure,Nintendo DS,"June 18, 2009","Tago Akira no Atama no Taisou Dai-2-Shuu: Ginga Oudan Nazotoki Adventure is a Puzzle game, developed and published..."
Tago Akira no Atama no Taisou Dai-3-Shuu: Fushigi no Kuni no Nazotoki Otogibanashi,Nintendo DS,"October 8, 2009","Tago Akira no Atama no Taisou Dai-3-Shuu: Fushigi no Kuni no Nazotoki Otogibanashi is an puzzle game, developed and..."
Tago Akira no Atama no Taisou Dai-4-Shuu: Time Machine no Nazotoki Daibouken,Nintendo DS,"October 8, 2009","Tago Akira no Atama no Taisou Dai-4-Shuu: Time Machine no Nazotoki Daibouken is an puzzle game, developed and..."
The Starship Damrey,Nintendo 3DS,"May 16, 2013",Seek the inconcievable truth of the Starship Damrey and discover why nothing is more frightening than complete...
Time Travelers,Nintendo 3DS,"July 12, 2012","In 2013, a mysterious hole, called ""Lost Hole"", emerged from the sky, and along with it, came an enormous explosion..."
Time Travelers,Sony Playstation Vita,"July 12, 2012","Re-do that moment. Change fate. Live on. Playing Cinema.
This is a time travelling mega title by Jiro Ishii, who..."
Weapon Shop De Omasse,Nintendo 3DS,"February 20, 2014","In Weapon Shop de Omasse the player takes on the role of Yuhan, a young apprentice at a shop that specializes at..."
White Knight Chronicles II,Sony Playstation 3,"September 13, 2011","White Knight Chronicles II, the sequel to White Knight Chronicles: International Edition, is an epic role-playing..."
White Knight Chronicles: International Edition,Sony Playstation 3,"February 2, 2010",White Knight Chronicles: International Edition is a Japanese RPG which allows players to explore an expansive and...
Yo-kai Watch 1 for Nintendo Switch,Nintendo Switch,"October 10, 2019",Yo-kai Watch 1 for Nintendo Switch is an enhanced port version of the original 2013 Nintendo 3DS game with improved...
Yo-Kai Watch 2: Fleshy Souls,Nintendo 3DS,"July 10, 2014","Watch out! The strangely charming troublemakers, Yo-kai, are back for an all-new adventure! Find, befriend, and..."
Yo-kai Watch 2: Psychic Specters,Nintendo 3DS,"September 29, 2017","Get wicked and complete the ultimate YO-KAI WATCH experience.

The strange but friendly troublemakers, Yo-kai,..."
Yo-kai Watch 3,Nintendo 3DS,"December 15, 2016",Follow two parallel stories and unravel the mysteries behind strange sightings while meeting over 600 Yo-kai and...
Youkai Sangokushi,Nintendo 3DS,"April 2, 2016","In the sunset under the ocean, the both teams (one are Whisper, Jibanyan, Komasan and Venoct, and another one are..."
Youkai uotchi 4: bokuraha onaji sora wo miage teiru,Nintendo Switch,"June 20, 2019","""Youkai Watch 4: Bokura wa Onaji Sora wo Miageteiru"" is a Nintendo Switch game, also known as Yo-kai Watch 4. It..."
Youkai Watch Busters 2: Hihou Densetsu Banbaraya Magnum,Nintendo 3DS,"December 16, 2017",Yo-Kai Watch Busters 2 – Treasure Legend Banbaraya – Magnum also known as Yo-Kai Watch Busters 2 – Hihou Densetsu...
Aero Porter,Nintendo 3DS,"November 12, 2012","An airport simulation and puzzle game that will have you sorting luggage, expanding your airport's operations, and..."
Dark Cloud,Sony Playstation 2,"May 29, 2001",Dark Cloud is set within a fantastic world with two moons called Terra. The world is made of two main continents...
Dark Cloud 2,Sony Playstation 2,"February 17, 2003","As a young inventor, you are called upon to search the dangerous dungeons, battle evil monsters and re-claim towns..."
Dragon Quest IX: Sentinels of the Starry Skies,Nintendo DS,"July 11, 2009","In ""Dragon Quest IX: Sentinels of the Starry Skies,"" players begin their adventure as a city guardian who is sent..."
Dragon Quest VIII: Journey of the Cursed King,Sony Playstation 2,"April 13, 2006",A mysterious jester. A forbidden scepter. A fiendish curse. A once idyllic kingdom lies entangled in a web of...
FANTASY LIFE i: The Girl Who Steals Time,Microsoft Xbox Series X/S,,
FANTASY LIFE i: The Girl Who Steals Time,Nintendo Switch 2,,
Fantasy Life Online,Android,"July 23, 2018","This game is similar to its predecessor, as it features 12 Lives and a new “Village” feature, where the player will..."
Inazuma Eleven,Nintendo DS,"August 26, 2011","Mark Evans is a very talented goalkeeper and the grandson of one of the strongest goalkeepers in Japan, who..."
Inazuma Eleven 1-2-3!! Endou Mamoru Densetsu,Nintendo 3DS,"December 27, 2012","The game contains the plots of the first three Inazuma Eleven games, starting off by following the protagonist of..."
Inazuma Eleven 2: Blizzard,Nintendo DS,"March 16, 2012","Endou Mamoru (Mark Evans in the European version), is a very talented goalkeeper. He plays for his high school's..."
Inazuma Eleven 2: Firestorm,Nintendo DS,"March 16, 2012","Inazuma Eleven 2 is the next iteration in the Inazuma Eleven series, which debuted on Nintendo DS in 2009.

The..."
Inazuma Eleven 3: Bomb Blast,Nintendo 3DS,"September 27, 2013",Its time to get into pre-season training and reacquaint yourself with Mark Evans and other star players in the...
Inazuma Eleven 3: Lightning Bolt,Nintendo 3DS,"September 27, 2013",Its time to get into pre-season training and reacquaint yourself with Mark Evans and other star players in the...
Inazuma Eleven 3: Team Ogre Attacks,Nintendo 3DS,"February 14, 2014","Goal! Dive in to Inazuma Eleven 3: Team Ogre Attacks!, an exciting blend of RPG action and football exclusive to..."
Inazuma Eleven GO Chrono Stones: Thunderflash,Nintendo 3DS,"March 27, 2015",Travel through time to save football in Inazuma Eleven GO Chrono Stones: Thunderflash on Nintendo 3DS and...
Inazuma Eleven Go Chrono Stones: Wildfire,Nintendo 3DS,"May 27, 2015","Travel through time to save football in Inazuma Eleven GO Chrono Stones: Wildfire on Nintendo 3DS and 2DS!

Fight..."
Inazuma Eleven Go Galaxy: Big Bang,Nintendo 3DS,"December 5, 2013","Youths' soccer world championship, Football Frontier International Vision 2 (FFIV2) is held, thus Inazuma Japan is..."
Inazuma Eleven Go: Light,Nintendo 3DS,"June 13, 2014","Summon up your fighting spirit as Raimon Jr. High takes to the pitch again! New footie stars, new moves and a whole..."
Inazuma Eleven Go: Shadow,Nintendo 3DS,"June 13, 2014","Summon up your fighting spirit as Raimon Jr. High takes to the pitch again! New footie stars, new moves and a whole..."
Inazuma Eleven GO Strikers 2013,Nintendo Wii,"December 20, 2012","Inazuma Eleven GO Strikers 2013 is an Inazuma Eleven spin-off game for the Nintendo Wii, featuring characters from..."
Inazuma Eleven Strikers,Nintendo Wii,"September 28, 2012","Inazuma Eleven Strikers is a Sports game, developed and published by Level 5, which was released in Japan in 2011"
Jeanne d'Arc,Sony PSP,"August 21, 2007","It is the 15th century, the time of the Hundred Years' War between England and France. A young French girl from the..."
Jeanne d'Arc,Sony Playstation 4,"July 16, 2024","Experience Jeanne d'Arc originally released on the PSP (PlayStation®Portable) system, enhanced with up-rendering,..."
Kidou Senshi Gundam AGE: Cosmic Drive,Sony PSP,"August 30, 2012","Kidou Senshi Gundam AGE: Cosmic Drive is a Role-Playing game, developed by Level 5 and published by Bandai Namco..."
Kidou Senshi Gundam AGE: Universe Accel,Sony PSP,"August 30, 2012","Kidou Senshi Gundam AGE: Universe Accel is a Role-Playing game, developed by Level 5 and published by Bandai Namco..."
LBX: Little Battlers eXperience,Nintendo 3DS,"August 21, 2015","Collect, build and battle your palm-sized robot. Play as Van Yamano, a young boy who comes upon a unique LBX - a..."
Level 5,Sinclair ZX Spectrum,1987,Level 5 is a 2D top down shooter set in a maze. The player is trapped inside a giant alien space pod and must reach...
Ni no Kuni: Cross Worlds,Windows,"June 10, 2021","The game begins with a glimpse into Ichi no Kuni in the present day, with technology extensively advanced. The..."
Ni no Kuni II: Revenant Kingdom: Prince's Edition,Nintendo Switch,"September 17, 2021","Join the young king, Evan, as he sets out on an epic quest to found a new kingdom and save his world. The Prince's..."
Ni no Kuni: Wrath of the White Witch Remastered,Sony Playstation 4,"September 20, 2019",Ni no Kuni: Wrath of the White Witch Remastered = Journey back to the other world in Ni no Kuni: Wrath of the White...
ParaWorld,Windows,"September 25, 2006",ParaWorld is a real-time strategy game in which warring tribes team with vicious prehistoric beasts to wage brutal...
Professor Layton and the Curious Village,Nintendo DS,"February 15, 2007","In the curious village of St. Mystere, townsfolk speak to each other in riddles, lock their doors with sliding..."
Professor Layton and the Curious Village HD for Mobile,Android,"September 25, 2018","Awarded Best Handheld Game of 2008. Discover the title that launched a legacy!

With over 17 million units sold..."
Professor Layton and the Diabolical Box,Nintendo DS,"August 24, 2009","In the world of Professor Layton, puzzles hide in every corner. When the professor's mentor is mysteriously..."
Professor Layton and the Last Specter,Nintendo DS,"October 17, 2011","Last Specter is the fourth game in the Professor Layton series, and is a prequel that takes place three years..."
Professor Layton and the Miracle Mask,Nintendo 3DS,"October 28, 2012","Professor Layton's first adventure on the Nintendo 3DS system takes him to the colorful city of Monte d'Or, where..."
Professor Layton and the Unwound Future,Nintendo DS,"September 12, 2010",Professor Layton and the Unwound Future is the third game in the beloved Professor Layton series of brainteaser...
Professor Layton vs Phoenix Wright: Ace Attorney,Nintendo 3DS,"November 29, 2012","Ace Attorney and Ace Investigator Join Forces!

Two of gaming's biggest sleuths team up to solve the most..."
Rogue Galaxy,Sony Playstation 2,"January 30, 2007","At the far edge of the galaxy lies the desert planet of Rosa, home to Jaster, a buccaneering young pirate who..."
Yo-kai Watch,Nintendo 3DS,"November 6, 2015","The YO-KAI WATCH game is about hundreds of sometimes cute, sometimes spooky, and usually mischievous Yo-kai that..."
Yo-Kai Watch 2: Bony Spirits,Nintendo 3DS,"September 30, 2016","Watch out! The strangely charming troublemakers, Yo-kai, are back for an all-new adventure! Find, befriend, and..."
Yo-kai Watch Blasters: Red Cat Corps,Nintendo 3DS,"September 7, 2018",Take down enemy Yo-kai and Big Bosses using skills and Soultimate Moves with up to 3 other friends*. As you tackle...
Yo-Kai Watch Blasters: White Dog Squad,Nintendo 3DS,"September 7, 2018",Join Jibanyan and his Blasters team in action-packed battles to stop the masterminds behind a series of Yo-kai...
